raw_line,year,decade,genre,source,context,exclusion_reason
547,1938,1930,MAG,SatEvePost,"democracy working in, perhaps, its best informal manner. But the Old Reporter fie longer knew what people meant by the word "" democracy, "" or the word",OCR noise
548,1939,1930,FIC,StoryLake,"Flick would mean. He was not tired with Flick. Far from it. FIe would like to keep on seeing her. Why not? "" That's just",OCR noise
549,1940,1940,MAG,GoodHouse,"tumbling out of cruc. cots, delivers them to hard-boiled male top-sergeants, who drill fie legs off them to start the day. The; wear feminine variations of standa",OCR noise
550,1940,1940,MAG,SatEvePost,"'re going to repeat things you hear, repeat them accurately. "" (To FIE CONTINUED) Al ter Woolworth returned, improved, Augsbury went to eat. As",OCR noise
551,1941,1940,MAG,Harpers,"Line West, The Return of the Weed, A Lamp on the Plains, FIE from Giulia, Figures in a Landscape, and Habit of Empire. SOMETHING'",OCR noise
556,1942,1940,NEWS,NYT-Let,19420903_3 txt EIGHTH ARE FIE General Asserts Enemy Has Not Penetrated Organized Area U. S. FLIERS ATTACK SHIPS American Fighter,OCR noise
559,1943,1940,FIC,LadyInLake,". "" I thought that over and decided it didn't mean anything much. FIe might have been late or have missed some earlier appointment. I said: """,OCR noise
560,1943,1940,FIC,HumanComedy,"had assembl. in the living room, several of the lanky frontiersmen sprawling on the fie,. in front of the fire, one of the delegation said: """,OCR noise
563,1946,1940,FIC,MiracleBells,"the dough. "" He felt that he was looking at a great man. fie felt a great, tugging urge to help Father Paul. But how? Bill",OCR noise
564,1946,1940,NEWS,NYT-Let,"are examples of "" virtually endless charges. "" The plight of. the waterfowl fie well Penalties Advocated To THE EDITOR OF THE NEW YORK TIMES: Dr. Harry D.",OCR noise
567,1947,1940,FIC,GentlemansAgreement,"deep breath and Michael could hear the air whistling into the boy's nostrils. fie looked taut and very handsome in a roughcut, archaic, tragic way in the",OCR noise
570,1947,1940,NEWS,Chicago,"went on trial before a jury in the federal court of Judge W. Calvin Chesnut. fie is accused of reporting only $81,210 of an income of $171,826 he had in the",OCR noise
572,1947,1940,NEWS,NYT-Reg,"1945. The actress, Faye Emer. son, now Mr. Roosevelt's wife, fie, ured largely in these parts. Gifts to Girl Guests Many other guests,",name fragment
574,1948,1940,MAG,Atlantic,"Affairs and that evening, while walking along the boulevard, had another stroke. fie was carried to his lodging and died next day. 4 Inc first thing that",OCR noise
584,1952,1950,FIC,WorksLove,pushed aside the netting and the bandagedhead and shoulders of Mr Willys were revealed. FIe was not an ugly man nor was he old; he was just very fat,OCR noise
586,1952,1950,FIC,EastEden,"year. Your brother got one? "" "" His came from a cut. fie wrote me about it. "" "" You notice this one of mine looks like",OCR noise
588,1952,1950,NEWS,Chicago,", designated to the air force post, has a financial and aviation background. fie is a former chairman of the hoard of the North American Aviation company and a",OCR noise
589,1953,1950,FIC,Outsider,"long schooled in dealing with Negroes as frightened inferiors, would accept without question. FIe went to the City Hall and presented himself at the windowmarked: DUPLICATE BIRTH CERTIFICATES",OCR noise
590,1953,1950,FIC,Outsider,", for, if he won it, what had he won? Eva? Fie hadn't killed to get her. Hilton was still staring at him; then",OCR noise
596,1954,1950,FIC,ThirdGeneration,"He was ineffably drawn to her; he felt an affinity deeper than kin. FIe went toward her timidly, filled with the great flaming desire to serve her with",OCR noise
598,1955,1950,MAG,Harpers,"Samurai, "" and I asked him if humor was not unusual in historicals. Fie denied this and said that he had created the role especially for Mifune, a",OCR noise
608,1959,1950,FIC,Mansion,"was riding toward the Santee River and they were to catch up with him. Fie set out with a few horsemen and rode toward Nelson's Ferry. "" Marion",OCR noise
609,1959,1950,FIC,Hawaii,bed and it struck him as highly peculiar that it should be dead white. fie had never seen any white sitting-down furniture before and thought how imp,OCR noise
610,1960,1960,MAG,Atlantic,"that I called him over, but I did not want to snub him. Fie claps one hand to the side of my head, as is his habit.",OCR noise
611,1960,1960,NEWS,NYT-Reg,"curtailed. The Wisconsin Republican said that the manual should never have been withdrawn. Fie said that "" the charges haven't been disproved one iota. """,OCR noise
614,1962,1960,FIC,LettingGo,"to accept credit for it and try to explain his ignorance of its results. FIe could not, of course, know that Tall would later change his opinion.",OCR noise
615,1962,1960,FIC,ShadeDifference,"he al, proached the great bronze doors of the Assembly Hall in Geneva that fie fateful afternoon. Now, my boy, he had admonished himself with a deep",OCR noise
618,1963,1960,MAG,Atlantic,"their revolutionary right in the securement of that freedom. I had become fanatical over fie question of asserting my dignity as a man, threw aside the mellowing influences of",OCR noise
620,1963,1960,MAG,Atlantic,"arrest and imprisonment. After his escape in 1876? the year Bakunin died? fie went to Switzerland, where he worked with Elisee Reclus, the French geographer and",OCR noise
621,1964,1960,FIC,OneDayInAfternoon,". "" He straightened his tie, and went along to meet the millionaire. FIE LEFT the hotel by the Fifty-sixth Street door, moving slowly, and thinking about",OCR noise
622,1964,1960,FIC,OneDayInAfternoon,"It was comfortable lying on top of the bed up there during the day. FIE PICKED up his key and a handful of phone messages, and went up to",OCR noise
623,1964,1960,FIC,Man,"Should I believe everything I read? "" "" Cut it out, Kay. FIe was gunning for bigger game in that column. "" "" I should think there",OCR noise
631,1967,1960,FIC,CaughtInThatMusic,"week ago, he would have refused to credit the possibility of real disappointment. FIe had always imagined that affection, friendship were states of being whose increase could come",OCR noise
632,1967,1960,NF/ACAD,English,"law of the land, the gentry will be satisfied. Clause 34 abolishes prceci fie, the writ which arbitrarily deprived a freeman of his own court. The power",OCR noise
641,1971,1970,NF/ACAD,Revolver1889-1914,"and was available in barrel lengths of 34 inches (174 oz.), 44 Fie. 9. Smith Wesson double-action lock-mechanism for hinged frame revolvers. The firing-cycle of",OCR noise
642,1971,1970,NF/ACAD,Revolver1889-1914,"on the trigger merely raises the pawl, to rotate the cylinder, without cocking Fie. 18. Portuguese "" Abadie "" loading-gate safety device. (Drawn by Senhor",OCR noise
643,1971,1970,NF/ACAD,Revolver1889-1914,"M/1893, Romanian M/1895, and Serbian equivalents) is shown at Figure 19, Fie. 19. Swedish (Nagant) double-action lock-mechanism for M/r887 evolver. where "" a",OCR noise
646,1972,1970,MAG,Harpers,", quickly tried to convin Flynn to join the crew and go back to the fie. with them. Flynn was skeptical as he sat in the Tu Do Street",OCR noise
647,1972,1970,MAG,Harpers,"that the destiny of blacks in the U.S. is in his hands. T 9-1 FIE MATERIAL COMFORT of tl Northeastern middle-class bla. is, in 1972, a direct result",OCR noise
649,1973,1970,MAG,Harpers,"in the city of Chihuahua. It is after the revolution. Canutillo, Durango FIE R.A.ncu MLST have been a I kind of paradise in the late summer after the",OCR noise
650,1973,1970,NEWS,WallStJrnl,"another question. Mr. Post says he would like to retire in "" four or fie years "" to his home here, which he and his wife designed and built",OCR noise
651,1974,1970,MAG,NewYorker,"Dylan was never really a successful archetype, if you know what I mean. FIe was only someone who seemed to he somewhere we thought we ought to be.",OCR noise
653,1974,1970,NEWS,Chicago,"by Rumsfeld, who even without portfolio is head of the White House staff. Fie insisted, sources said, that there be no freewheeling troubleshooters -- a role that",OCR noise
655,1975,1970,MAG,NewYorker,"next President of the United States, but Mr. Buckley was not among them. Fie contented himself with saying, in his plummy, intelligent voice, that Ron Reagan",OCR noise
656,1975,1970,NEWS,Chicago,"He was shoving and hitting me and yelling. It all happened very fast. fie ran toward the kitchen door, and I yelled for him to stop. He",OCR noise
657,1975,1970,NEWS,Chicago,"In Puerto Rico, Mayor Carlos Romero Barcelo of Sail Juan denounced the bombings. fie said those who "" senselessly destroy property and endanger lives,.. in a society",OCR noise
658,1975,1970,NEWS,Chicago,leading to the seaport ArDairen.? - TATiiiNG IS A sort of case history of fie contribution that new frontier territ Cies are making to the progress of ehina. Twenty,OCR noise
661,1976,1970,FIC,SpectatorBird,"said, and held up my scalped foot. You never saw such disappointment. FIe was raging with it, like a high school quarterback whose coach won't send",OCR noise
662,1976,1970,FIC,Harpers,"off, it was into the fine, mellow sleep of the just. T FIE NEXT DAY Paul felt certain that with one more mouseti -- ie he could have",OCR noise
663,1976,1970,NEWS,NYT-Reg,"orders and this afternoon, the police, whose principal duty is to direct traf-1 fie, appeared on the streets' wearing badges marked "" M "" for "" militarized",OCR noise
665,1977,1970,MAG,GoodHouse,"Gallaghers and harts knew one anothe sonably well before a workin tionship developed, the fie energy that surround Suzan a limited impact on the r Newhart. The tone Newhart",OCR noise
670,1978,1970,MAG,PopSci,"in a thunderstorr "" The charged raindrops accumulate in a cloud and form an electric fie When it becomes strong enough get lightning. What I did was bottle this whole",OCR noise
673,1979,1970,MAG,Harpers,"Campbell, had his hand in the till. Lance immediately informed the FBI. Fie was later to remind his accusers of this again and again: he himself had",OCR noise
675,1979,1970,NEWS,Chicago,"levy, which restricts the amount of tax money the governing commission can collect. fie said that because of the county's home rule rights, no such tax levy",OCR noise
679,1980,1980,MAG,NewRepublic,", nostalgia, aestheticism, and a deeply passive pessimism now drawi us nearer to fie de. sikle Vienna. In international politic, the broadest Context for a historical",OCR noise
683,1982,1980,NF/ACAD,FoodScienceChemical,section of the above diagram enclosed in a broken line is shown in detail in Fie. 8.5. // source of the starch. Potato starch and wheat starch each contain,OCR noise
684,1983,1980,FIC,Poland,"in his own discoveries to pay any heed to the speeches being exchanged ahead. fie had looked beyond the constructionsite to the Katun Enclosure presently in use, which had",OCR noise
685,1983,1980,FIC,MrsPollifaxOnChina,"was vital to spread them out, except that usually only the peasants -- the fie ho -- were ever returned to their nativevillages. The educated young people, the",OCR noise
