LINE	YEAR	GENRE	SOURCE	CONTEXT
4	1840	FIC	WestPoint	Arnold -- Mrs. Arnold. Mrs. Arnold Oh! I understand. Major Talmadge? Fie, fie, I can't, upon my life, see why you should
5	1840	FIC	WestPoint	Mrs. Arnold. Mrs. Arnold Oh! I understand. Major Talmadge? Fie, fie, I can't, upon my life, see why you should forego all
6	1842	FIC	LegendsProvince	and miserable petitions, as if Lady Eleanore could be conscious of mortal infirmity? Fie! Heap of diseased mortality, why lurkest thou in my lady's chamber?
7	1842	FIC	Zamba	couch, where arms maternal Gives to the shivering form its warmest shelter. Now fie upon such manhood! these are brutes Compared with him that serves him of the
8	1843	FIC	VariousWritings	and it might have been as easily done as kissing a wench. BRISK. Fie, fie, Crowder! -- we must move gently; anything but a misdemeanor
9	1843	FIC	VariousWritings	might have been as easily done as kissing a wench. BRISK. Fie, fie, Crowder! -- we must move gently; anything but a misdemeanor or open
10	1843	FIC	SpanishStudent	the Court, who loves you, And for yourself alone. VICTORIAN. Victorian Fie! the old story! Tell me a better fortune for my money; Not
11	1843	MAG	NewEngYaleRev	a trial as it is, by no means, fitted to endure. " fie then sketches a frightful picture both of the miracles and the historic narrations in the
12	1844	MAG	NorthAmRev	frequenting the walks. But these are rejected for this abominable game of chess. Fie, then, Mr. Franklin! But amidst my instructions, I had almost forgot
13	1844	MAG	NewEngYaleRev	to you, Mr. Parker, account for Moses if you can. Oh, fie, fie on you, that with your Homer in your hand, and able
14	1844	MAG	NewEngYaleRev	, Mr. Parker, account for Moses if you can. Oh, fie, fie on you, that with your Homer in your hand, and able as a
15	1845	FIC	WarwickWoodlands	on at the top of their pace. " Toho! toho-o-o, Chase; fie for shame -- don't you see, sir, Shot's got him dead
16	1845	FIC	CountJulianThe	woman, Toro! " she exclaimed. " They have raised her up -- fie -- fie -- her neck is bare, and yet she does not heed it
17	1845	FIC	CountJulianThe	Toro! " she exclaimed. " They have raised her up -- fie -- fie -- her neck is bare, and yet she does not heed it. She
18	1846	FIC	RomanTraitorVol12	them, when flushed with wine, and ripe for any outrage? " " Fie! dear one, fie! " answered the young man with a smile --
19	1846	FIC	RomanTraitorVol12	wine, and ripe for any outrage? " " Fie! dear one, fie! " answered the young man with a smile -- " a sorry soldier wouldst
20	1846	FIC	RomanTraitorVol12	moved down in company toward the river. CHAPTER VI. THE FALSE LOVE. Fie, fie, upon her; There's a language in her eye, her
21	1846	FIC	RomanTraitorVol12	in company toward the river. CHAPTER VI. THE FALSE LOVE. Fie, fie, upon her; There's a language in her eye, her cheek,
22	1846	FIC	CharlesSecond	Mary Copp Drawing back. He does not look so very ferocious, neither. Fie, sir, fie! what, steal the jewels of the crown? Chas
23	1846	FIC	CharlesSecond	. He does not look so very ferocious, neither. Fie, sir, fie! what, steal the jewels of the crown? Chas. King Charles II
24	1846	FIC	RoadToFortune	de body ob de discoberies. (Kneels before Catharine.) Catharine. Catharine Fie, for shame, Pompey! Pompey. Pompey Dis nigger's not in lub
25	1846	FIC	PoorGentleman	, at the bottom of Waggon Lodge Field. Foss. Corporal Foss Oh, fie! you should have looked to them better. Ste. Stephen Harrowby Looked to'
26	1846	MAG	NewEngYaleRev	These are the subjects of the two Treatises, entitled Kar4'o * tw, and FIe * L * E * o1veta5. But the contemplation of the work to be
27	1847	FIC	IngleboroughHall	which his grace of Lauderdale, they say, is looking after. " " Fie! fie! Sir Henry -- fie! Do you suppose that a thought of
28	1847	FIC	IngleboroughHall	grace of Lauderdale, they say, is looking after. " " Fie! fie! Sir Henry -- fie! Do you suppose that a thought of that kind
29	1847	FIC	IngleboroughHall	say, is looking after. " " Fie! fie! Sir Henry -- fie! Do you suppose that a thought of that kind ever occurred to me?
30	1847	FIC	IngleboroughHall	suppose that a thought of that kind ever occurred to me? Oh no -- fie! fie! but, on my word, I believe I can do it
31	1847	FIC	IngleboroughHall	a thought of that kind ever occurred to me? Oh no -- fie! fie! but, on my word, I believe I can do it. "
32	1847	FIC	IngleboroughHall	, and then I'd marry the foul fiend if need were. " " Fie! fie! Mark! " answered Hale -- " don't talk in that
33	1847	FIC	IngleboroughHall	then I'd marry the foul fiend if need were. " " Fie! fie! Mark! " answered Hale -- " don't talk in that profligate manner
34	1847	FIC	IngleboroughHall	So with a loud and boisterous laugh, he cried out, " Oh! fie, you blab! You mar-sport! You have spoiled all my fun. Why
35	1847	FIC	NobleExile	good season. We were just speculating on your weight. Martha. Martha Mathews Fie upon you, brother! Mrs. M. Mrs. Mathews (aside). What will
36	1847	FIC	LovesSacrifice	short allowance -- there is not one for half-a-dozen of us! Mar. Margaret Fie, fie, girl! To your task. I shall be late. You
37	1847	FIC	LovesSacrifice	-- there is not one for half-a-dozen of us! Mar. Margaret Fie, fie, girl! To your task. I shall be late. You know,
38	1847	FIC	LovesSacrifice	I am not nameless, But called Eugene de Lorme. Friar. Friar Dominic Fie, fie, young braggart! I knew De Lorme, whom thou wouldst claim
39	1847	FIC	LovesSacrifice	not nameless, But called Eugene de Lorme. Friar. Friar Dominic Fie, fie, young braggart! I knew De Lorme, whom thou wouldst claim for father
40	1847	FIC	LovesSacrifice	to his child bequeaths A holy legacy in his revenge. Elm. Matthew Elmore Fie! fie! Shall twenty years not quench this thirst? I thought I had
41	1847	FIC	LovesSacrifice	child bequeaths A holy legacy in his revenge. Elm. Matthew Elmore Fie! fie! Shall twenty years not quench this thirst? I thought I had reared thee
42	1847	FIC	LovesSacrifice	Stay, Eugene! Spare me -- be merciful! Eug. Eugene de Lorme Fie! -- fie upon This poor hypocrisy of seeming grief! Mar. Margaret Eugene
43	1847	FIC	LovesSacrifice	! Spare me -- be merciful! Eug. Eugene de Lorme Fie! -- fie upon This poor hypocrisy of seeming grief! Mar. Margaret Eugene -- oh,
44	1847	FIC	VenicePreserved	and Theodore stand back, L. Beda. Bedamar Crossing, C. At difference? fie! Is this a time for quarrels? Thieves and rogues Fall out and brawl
45	1847	FIC	VenicePreserved	honest. Pierre. Pierre That's rank falsehood. Fear'st thou not death? Fie, there's a knavish itch In that salt blood, an utter foe to
46	1847	FIC	VenicePreserved	L. C.) I will, when I've done weeping -- Jaf. Jaffier Fie, no more on't! How long is't since the miserable day We wedded
47	1848	FIC	DukesPrizeStory	" What would you? " " To speak to the duke. " " Fie, man, don't you see he's busy now? " " Give
48	1848	FIC	KateClarendonNecromancy	be at each other's throats soon, when I saw you ride up. Fie! my cavaliers -- for shame! " " Your rebuke is just, and
49	1848	FIC	KateClarendonNecromancy	" that will depend much upon a certain monosyllable from Emma here. " " Fie! Orville, " said Emma, blush ing, and dragging him away,
50	1848	FIC	OctaviaBragaldi	Octavia. Octavia Bragaldi Not yet returned! what can have thus delayed him? Fie, fie, Octavia, be again thyself! Let me be calm, and
51	1848	FIC	OctaviaBragaldi	Octavia Bragaldi Not yet returned! what can have thus delayed him? Fie, fie, Octavia, be again thyself! Let me be calm, and still this
52	1848	FIC	Stranger	recommended me to your regard! But it must be so. -- Madam -- Fie, Adelaide! Does pride become you? Did you ever hear of the Countess
53	1849	FIC	VenusInBoston <	! You are not offended at my familiarity? " The Duchess only said " fie! " and pouted for a moment, so as to display her ripe lips
54	1849	FIC	VenusInBoston <	but my tongue is mute in the presence of such a divinity. " " Fie, sir! I must scold you if you flatter me, " responded the
55	1849	FIC	MemoirsPreacher	" Friend, thou art behaving exceedingly bad, " said Martha Lott. " Fie! Shame on thee! to brandish these weapons at the breast of a defenceless
56	1849	FIC	KateAccomplice	-- a dear and only child!' And the poor girl sobbed aloud. Fie, fie!' exclaimed Light Joe, with an attempt at a laugh;
